fam	genome
RLC00002	b73
RLC00004	b73
RLC00013	b73
RLC00014	b73
RLC00015	b73
RLC00016	b73
RLC00019	b73
RLC00022	b73
RLC00023	b73
RLC00025	b73
RLC00026	b73
RLC00029	b73
RLC00030	b73
RLC00032	b73
RLC00033	b73
RLC00034	b73
RLC00041	b73
RLC00042	b73
RLC00044	b73
RLC00045	b73
RLC00046	b73
RLC00048	b73
RLC00049	b73
RLC00050	b73
RLC00052	b73
RLC00054	b73
RLC00057	b73
RLC00059	b73
RLC00062	b73
RLC00063	b73
RLC00064	b73
RLC00067	b73
RLC00068	b73
RLC00069	b73
RLC00070	b73
RLC00074	b73
RLC00075	b73
RLC00076	b73
RLC00079	b73
RLC00080	b73
RLC00083	b73
RLC00086	b73
RLC00093	b73
RLC00096	b73
RLC00097	b73
RLC00099	b73
RLC00101	b73
RLC00104	b73
RLC00105	b73
RLC00112	b73
RLC00116	b73
RLC00117	b73
RLC00118	b73
RLC00119	b73
RLC00124	b73
RLC00125	b73
RLC00126	b73
RLC00127	b73
RLC00128	b73
RLC00135	b73
RLC00137	b73
RLC00138	b73
RLC00139	b73
RLC00141	b73
RLC00143	b73
RLC00145	b73
RLC00146	b73
RLC00148	b73
RLC00149	b73
RLC00150	b73
RLC00151	b73
RLC00153	b73
RLC00154	b73
RLC00157	b73
RLC00158	b73
RLC00161	b73
RLC00163	b73
RLC00165	b73
RLC00169	b73
RLC00170	b73
RLC00173	b73
RLC00176	b73
RLC00177	b73
RLC00178	b73
RLC00179	b73
RLC00182	b73
RLC00183	b73
RLC00184	b73
RLC00188	b73
RLC00189	b73
RLC00190	b73
RLC00195	b73
RLC00199	b73
RLC00200	b73
RLC00201	b73
RLC00203	b73
RLC00205	b73
RLC00206	b73
RLC00207	b73
RLC00213	b73
RLC00214	b73
RLC00217	b73
RLC00218	b73
RLC00224	b73
RLC00228	b73
RLC00229	b73
RLC00231	b73
RLC00232	b73
RLC00233	b73
RLC00238	b73
RLC00247	b73
RLC00248	b73
RLC00250	b73
RLC00252	b73
RLC00254	b73
RLC00255	b73
RLC00256	b73
RLC00257	b73
RLC00258	b73
RLC00260	b73
RLC00265	b73
RLC00274	b73
RLC00276	b73
RLC00278	b73
RLC00279	b73
RLC00280	b73
RLC00282	b73
RLC00284	b73
RLC00291	b73
RLC00293	b73
RLC00305	b73
RLC00307	b73
RLC00311	b73
RLC00313	b73
RLC00314	b73
RLC00316	b73
RLC00318	b73
RLC00321	b73
RLC00325	b73
RLC00335	b73
RLC00336	b73
RLC00338	b73
RLC00340	b73
RLC00347	b73
RLC00348	b73
RLC00351	b73
RLC00352	b73
RLC00353	b73
RLC00354	b73
RLC00356	b73
RLC00358	b73
RLC00364	b73
RLC00365	b73
RLC00367	b73
RLC00368	b73
RLC00372	b73
RLC00373	b73
RLC00375	b73
RLC00377	b73
RLC00383	b73
RLC00384	b73
RLC00386	b73
RLC00387	b73
RLC00390	b73
RLC00391	b73
RLC00392	b73
RLC00396	b73
RLC00403	b73
RLC00407	b73
RLC00409	b73
RLC00414	b73
RLC00416	b73
RLC00418	b73
RLC00419	b73
RLC00423	b73
RLC00426	b73
RLC00429	b73
RLC00430	b73
RLC00442	b73
RLC00443	b73
RLC00444	b73
RLC00445	b73
RLC00447	b73
RLC00456	b73
RLC00461	b73
RLC00462	b73
RLC00463	b73
RLC00473	b73
RLC00474	b73
RLC00475	b73
RLC00476	b73
RLC00480	b73
RLC00482	b73
RLC00485	b73
RLC00489	b73
RLC00492	b73
RLC00493	b73
RLC00494	b73
RLC00496	b73
RLC00498	b73
RLC00500	b73
RLC00501	b73
RLC00508	b73
RLC00510	b73
RLC00520	b73
RLC00521	b73
RLC00536	b73
RLC00537	b73
RLC00540	b73
RLC00545	b73
RLC00550	b73
RLC00553	b73
RLC00555	b73
RLC00556	b73
RLC00562	b73
RLC00563	b73
RLC00564	b73
RLC00568	b73
RLC00574	b73
RLC00576	b73
RLC00580	b73
RLC00588	b73
RLC00589	b73
RLC00591	b73
RLC00592	b73
RLC00597	b73
RLC00600	b73
RLC00602	b73
RLC00604	b73
RLC00607	b73
RLC00608	b73
RLC00610	b73
RLC00618	b73
RLC00619	b73
RLC00621	b73
RLC00625	b73
RLC00627	b73
RLC00645	b73
RLC00648	b73
RLC00649	b73
RLC00659	b73
RLC00661	b73
RLC00662	b73
RLC00664	b73
RLC00676	b73
RLC00683	b73
RLC00687	b73
RLC00688	b73
RLC00691	b73
RLC00693	b73
RLC00694	b73
RLC00697	b73
RLC00699	b73
RLC00701	b73
RLC00703	b73
RLC00714	b73
RLC00715	b73
RLC00717	b73
RLC00718	b73
RLC00728	b73
RLC00729	b73
RLC00730	b73
RLC00732	b73
RLC00735	b73
RLC00741	b73
RLC00742	b73
RLC00744	b73
RLC00746	b73
RLC00749	b73
RLC00751	b73
RLC00752	b73
RLC00753	b73
RLC00754	b73
RLC00755	b73
RLC00760	b73
RLC00761	b73
RLC00764	b73
RLC00765	b73
RLC00771	b73
RLC00773	b73
RLC00777	b73
RLC00780	b73
RLC00784	b73
RLC00785	b73
RLC00790	b73
RLC00791	b73
RLC00792	b73
RLC00799	b73
RLC00800	b73
RLC00805	b73
RLC00810	b73
RLC00829	b73
RLC00833	b73
RLC00835	b73
RLC00836	b73
RLC00843	b73
RLC00844	b73
RLC00845	b73
RLC00847	b73
RLC00851	b73
RLC00854	b73
RLC00869	b73
RLC00875	b73
RLC00876	b73
RLC00881	b73
RLC00882	b73
RLC00883	b73
RLC00884	b73
RLC00885	b73
RLC00886	b73
RLC00887	b73
RLC00888	b73
RLC00890	b73
RLC00891	b73
RLC00894	b73
RLC00898	b73
RLC00901	b73
RLC00904	b73
RLC00918	b73
RLC00919	b73
RLC00921	b73
RLC00926	b73
RLC00938	b73
RLC00939	b73
RLC00940	b73
RLC00943	b73
RLC00949	b73
RLC00950	b73
RLC00951	b73
RLC00957	b73
RLC00958	b73
RLC00959	b73
RLC00962	b73
RLC00963	b73
RLC00964	b73
RLC00965	b73
RLC00966	b73
RLC00968	b73
RLC00972	b73
RLC00973	b73
RLC00974	b73
RLC00975	b73
RLC00976	b73
RLC00982	b73
RLC00986	b73
RLC00991	b73
RLC00994	b73
RLC01003	b73
RLC01004	b73
RLC01009	b73
RLC01015	b73
RLC01018	b73
RLC01019	b73
RLC01022	b73
RLC01025	b73
RLC01026	b73
RLC01029	b73
RLC01031	b73
RLC01032	b73
RLC01033	b73
RLC01034	b73
RLC01035	b73
RLC01047	b73
RLC01048	b73
RLC01054	b73
RLC01058	b73
RLC01065	b73
RLC01066	b73
RLC01067	b73
RLC01069	b73
RLC01070	b73
RLC01071	b73
RLC01079	b73
RLC01081	b73
RLC01082	b73
RLC01084	b73
RLC01092	b73
RLC01095	b73
RLC01100	b73
RLC01102	b73
RLC01103	b73
RLC01106	b73
RLC01110	b73
RLC01111	b73
RLC01115	b73
RLC01118	b73
RLC01120	b73
RLC01126	b73
RLC01127	b73
RLC01129	b73
RLC01134	b73
RLC01138	b73
RLC01139	b73
RLC01161	b73
RLC01162	b73
RLC01170	b73
RLC01171	b73
RLC01180	b73
RLC01184	b73
RLC01185	b73
RLC01193	b73
RLC01195	b73
RLC01199	b73
RLC01201	b73
RLC01204	b73
RLC01206	b73
RLC01209	b73
RLC01213	b73
RLC01215	b73
RLC01225	b73
RLC01230	b73
RLC01237	b73
RLC01242	b73
RLC01244	b73
RLC01247	b73
RLC01251	b73
RLC01259	b73
RLC01268	b73
RLC01269	b73
RLC01275	b73
RLC01296	b73
RLC01301	b73
RLC01304	b73
RLC01305	b73
RLC01308	b73
RLC01311	b73
RLC01312	b73
RLC01314	b73
RLC01319	b73
RLC01320	b73
RLC01322	b73
RLC01324	b73
RLC01332	b73
RLC01334	b73
RLC01335	b73
RLC01336	b73
RLC01339	b73
RLC01340	b73
RLC01343	b73
RLC01349	b73
RLC01350	b73
RLC01354	b73
RLC01358	b73
RLC01360	b73
RLC01362	b73
RLC01368	b73
RLC01373	b73
RLC01374	b73
RLC01375	b73
RLC01376	b73
RLC01383	b73
RLC01385	b73
RLC01387	b73
RLC01390	b73
RLC01393	b73
RLC01395	b73
RLC01401	b73
RLC01409	b73
RLC01413	b73
RLC01418	b73
RLC01423	b73
RLC01424	b73
RLC01427	b73
RLC01430	b73
RLC01432	b73
RLC01434	b73
RLC01438	b73
RLC01445	b73
RLC01446	b73
RLC01448	b73
RLC01450	b73
RLC01455	b73
RLC01456	b73
RLC01470	b73
RLC01474	b73
RLC01476	b73
RLC01479	b73
RLC01481	b73
RLC01484	b73
RLC01488	b73
RLC01489	b73
RLC01494	b73
RLC01498	b73
RLC01502	b73
RLC01505	b73
RLC01507	b73
